Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density(P/Km2),Land Area(Km2)
99.22998,99.5,252.14,256070000.0,8.61,91.86,5.9,-0.25928403107836423,28.619164,22494.715,3.3,-0.265283314422225,-0.15390965236715284,-1.3032596346348586,13082.66433,17,2780400.0
99.342674,99.6,250.97,47820000.0,8.91,91.55,5.73,-0.24319622310849764,30.806438,23152.588,3.31,-0.26246184269317696,-0.09274304498510787,-0.506633530441061,13080.25473,17,2780400.0
100.0,99.7,248.74,2472850000.0,9.79,92.18,5.26,-0.24578596780608594,30.066004,22881.006,3.4,-0.26440860406243005,-0.08533129824699545,-1.6482566815872894,12334.79825,17,2780400.0
99.62539,99.7,247.37,109830000.0,9.4,97.18,6.64,-0.2473555100470485,29.472387,23046.873,3.36,-0.2612351126473425,-0.0963015571649538,-0.43099575473499435,13789.06042,17,2780400.0
99.84958,99.8,245.23,250160000.0,9.38,100.8,7.82,-0.25893088407414766,27.81438,22726.455,3.41,-0.2625098431350998,-0.158029846205675,-1.5479078603720988,12790.24247,17,2780400.0
100.0,99.8,244.82,503740000.0,10.37,99.4,5.77,-0.2495921077404202,28.267298,22503.818,3.32,-0.2645579442701705,-0.09152246913784337,-0.4107203995372272,14613.04182,17,2780400.0
99.98958,99.8,259.47,492720000.0,10.52,98.31,6.51,-0.24343165444464204,29.673082,22163.16,3.31,-0.2658486830300887,-0.05542952442369596,-1.6725799956889411,11795.15939,17,2780400.0
100.0,99.9,283.38,474460000.0,10.74,90.56,7.97,-0.24476576534946023,31.991589,20725.168,3.35,-0.27054224602451965,-0.011313544575797786,-1.5352812296355984,10056.63794,17,2780400.0
98.908226,70.3,113.51,4880000.0,2.07,16.13,0.0,-0.3746846243451387,8.611898,16123.289,14.46,-0.3454313508342775,-0.7183769585986897,1.5117003461379943,655.1199452,123,86600.0
99.221596,85.2,113.6,2230000.0,3.36,17.12,0.0,-0.3689557951656252,14.8258705,19273.648,9.28,-0.3441779539426374,-0.5750602358332456,5.425844542764744,1578.40239,123,86600.0
