Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density(P/Km2),Land Area(Km2),Latitude,Longitude
Algeria,2000,0.5195514992412138,0.7027502387515923,-0.7138650984955857,-0.8931552136262325,-0.2700651119639466,-0.24951951257641455,-0.3051631898855872,-0.8338128816422387,-0.5648605603869195,-0.421396324206814,-0.2521739652459665,-0.7482855453014416,-0.2022626742684307,-0.588277714229238,18,0.4072302831405929,0.6043953986605602,-0.3684415271306401
Algeria,2001,0.5190366460565342,0.7101441980120913,-0.7149295774658959,-0.8931552136262325,-0.2683698785204575,-0.24951951257641455,-0.3050688704168987,-0.8310586022555002,-0.5611044410641525,-0.4417757598168768,-0.2530766601769471,-0.7472245311383866,-0.3567535411231404,-0.5897971503791708,18,0.4072302831405929,0.6043953986605602,-0.3684415271306401
Algeria,2002,0.5178953743903343,0.7286290961633387,-0.7159053498553469,-0.888746688919419,-0.2668865492574045,-0.24951951257641455,-0.3051160301512429,-0.8329723083097011,-0.5572855672607983,-0.4325123799941209,-0.2506587263395895,-0.7484235587334762,0.1453417761546658,-0.5872323133189958,18,0.4072302831405929,0.6043953986605602,-0.3684415271306401
Algeria,2003,0.5163210640904724,0.7360230554238377,-0.716881122244798,-0.8909509512728259,-0.2644647871952773,-0.24951951257641455,-0.3041728354643572,-0.8053995927081576,-0.5515215315509583,-0.4399230838523256,-0.2469254374311393,-0.732802117751016,0.4543235098640854,-0.567225414406919,18,0.4072302831405929,0.6043953986605602,-0.3684415271306401
Algeria,2004,0.5145087478240169,0.7434170146843367,-0.7178568946342491,-0.8926041480378807,-0.2620430251331501,-0.24951951257641455,-0.3042199951987014,-0.8087116226129841,-0.5471814323719746,-0.4621551954269396,-0.2460872236626165,-0.7346896031440995,-0.1057058824842371,-0.5356922037911546,18,0.4072302831405929,0.6043953986605602,-0.3684415271306401
Algeria,2005,0.5126518054388249,0.754507953575085,-0.7189213736045593,-0.8848892298009574,-0.2586828302719484,-0.24951951257641455,-0.3028052031683729,-0.774544559933906,-0.5409880330901696,-0.4732712512142467,-0.2430567448697938,-0.7145608988230504,0.2032758512251821,-0.5044013184483642,18,0.4072302831405929,0.6043953986605602,-0.3684415271306401
Algeria,2006,0.5109494016499972,0.7619019128355841,-0.7270823790436047,-0.8942573448029358,-0.256351884287151,-0.24951951257641455,-0.3043614744017343,-0.8160062752562136,-0.5370024600586107,-0.4362177319232234,-0.2394330726505368,-0.738542558400948,-0.6078011997620437,-0.4816528484842652,18,0.4072302831405929,0.6043953986605602,-0.3684415271306401
Algeria,2007,0.5096210308489477,0.7655988924658333,-0.7281468580139151,-0.8942573448029358,-0.2535517219028163,-0.24951951257641455,-0.3043614744017343,-0.8173816405848763,-0.5297086747538192,-0.4158382963131605,-0.2375374117222091,-0.7388407171825347,-0.2795081076957855,-0.4522973989637668,18,0.4072302831405929,0.6043953986605602,-0.3684415271306401
Algeria,2008,0.5465668292687732,0.7729928517263324,-0.7340014923506215,-0.9003190662748042,-0.2493136382940936,-0.24951951257641455,-0.3040785159956686,-0.8130355480328242,-0.5211075044367918,-0.4251016761359162,-0.2343135012544211,-0.7363748114741446,-0.4726216912641727,-0.3917502317552019,18,0.4072302831405929,0.6043953986605602,-0.3684415271306401
Algeria,2009,0.5089803981222009,0.7766898313565817,-0.7357756239678053,-0.8997680006864527,-0.2517959444077741,-0.24951951257641455,-0.30398419652698,-0.8095777286368185,-0.5123626832817586,-0.3658160452702788,-0.2314635655615043,-0.7341584693534224,-0.6271125581188824,-0.456481183094788,18,0.4072302831405929,0.6043953986605602,-0.3684415271306401
